source_table,source_field,source_value_example,keep_indicator,model_table,model_field_name,comments
r_ks2,READ_AVERAGE_B,106,Reject,,,
r_ks2,READ_AVERAGE_G,108,Reject,,,
r_ks2,READ_AVERAGE_L,94,Reject,,,
r_ks2,READ_AVERAGE_M,104,Reject,,,
r_ks2,READ_AVERAGE_H,113,Reject,,,
r_ks2,READ_AVERAGE_FSM6CLA1A,103,Reject,,,
r_ks2,READ_AVERAGE_NotFSM6CLA1A,108,Reject,,,
r_ks2,READ_AVERAGE_EAL,106,Reject,,,
r_ks2,READ_AVERAGE_MOBN,108,Reject,,,
r_ks2,MAT_AVERAGE_B,105,Reject,,,
r_ks2,MAT_AVERAGE_G,106,Reject,,,
r_ks2,MAT_AVERAGE_L,95,Reject,,,
r_ks2,MAT_AVERAGE_M,103,Reject,,,
r_ks2,MAT_AVERAGE_H,111,Reject,,,
r_ks2,MAT_AVERAGE_FSM6CLA1A,103,Reject,,,
r_ks2,MAT_AVERAGE_NotFSM6CLA1A,106,Reject,,,
r_ks2,MAT_AVERAGE_EAL,102,Reject,,,
r_ks2,MAT_AVERAGE_MOBN,106,Reject,,,
r_ks2,GPS_AVERAGE_B,105,Reject,,,
r_ks2,GPS_AVERAGE_G,107,Reject,,,
r_ks2,GPS_AVERAGE_L,94,Reject,,,
r_ks2,GPS_AVERAGE_M,104,Reject,,,
r_ks2,GPS_AVERAGE_H,111,Reject,,,
r_ks2,GPS_AVERAGE_FSM6CLA1A,102,Reject,,,
r_ks2,GPS_AVERAGE_NotFSM6CLA1A,107,Reject,,,
r_ks2,GPS_AVERAGE_EAL,103,Reject,,,
r_ks2,GPS_AVERAGE_MOBN,107,Reject,,,
r_ks2,PTREAD_EXP_L,13%,Reject,,,
r_ks2,PTREAD_EXP_M,72%,Reject,,,
r_ks2,PTREAD_EXP_H,100%,Reject,,,
r_ks2,PTREAD_EXP_FSM6CLA1A,59%,Reject,,,
r_ks2,PTREAD_EXP_NotFSM6CLA1A,82%,Reject,,,
r_ks2,PTGPS_EXP_L,0%,Reject,,,
r_ks2,PTGPS_EXP_M,77%,Reject,,,
r_ks2,PTGPS_EXP_H,100%,Reject,,,
r_ks2,PTGPS_EXP_FSM6CLA1A,65%,Reject,,,
r_ks2,PTGPS_EXP_NotFSM6CLA1A,83%,Reject,,,
r_ks2,PTMAT_EXP_L,13%,Reject,,,
r_ks2,PTMAT_EXP_M,70%,Reject,,,
r_ks2,PTMAT_EXP_H,100%,Reject,,,
r_ks2,PTMAT_EXP_FSM6CLA1A,71%,Reject,,,
