la_key,year_key,nc_key,admission_numbers,applications_received,online_applications,no_of_preferences,first_preference_offers,second_preference_offers,third_preference_offers,preferred_school_offer,non_preferred_offer,no_offer,schools_in_la_offer,schools_in_another_la_offer
80,2020,8,3334,3120,2624,3,2380,351,174,2905,212,3,2987,130
83,2020,8,2188,2004,1722,4,1782,126,40,1950,52,2,1989,13
84,2020,10,2389,1885,1831,3,1825,43,0,1868,7,10,1758,117
103,2020,8,6623,6273,6091,6,4677,777,340,6017,235,21,5752,501
98,2020,8,3830,3827,3627,4,2994,315,142,3568,259,0,3679,148
58,2020,8,8813,8044,8028,3,7382,483,50,7915,126,3,7477,564
54,2020,8,3745,3146,2619,4,2493,338,115,2970,172,4,3096,163
123,2020,8,2822,2366,2311,3,2278,38,2,2318,17,31,2127,208
122,2020,8,4260,3696,3369,3,2881,335,161,3378,311,7,3600,89
6,2020,8,6154,5154,4836,3,4875,174,26,5075,66,13,5005,155
5,2020,8,1243,1215,1120,3,1067,95,19,1181,34,0,1192,23
104,2020,8,5399,5172,5037,3,4645,307,86,5038,133,1,4925,246
99,2020,8,2715,2328,2269,3,1963,213,73,2249,79,0,2285,43
105,2020,8,15077,14221,13773,3,13121,641,139,13901,320,0,13260,961
100,2020,8,2190,2099,1895,6,1906,137,17,2062,37,0,1883,216
101,2020,8,2530,2550,2539,3,2005,238,88,2331,218,1,2338,211
59,2020,8,8272,7393,7214,3,6607,377,92,7078,0,315,6754,324
55,2020,8,4516,4791,4522,4,4053,386,105,4573,218,0,4129,662
56,2020,8,570,339,311,3,310,11,3,324,0,15,310,14
75,2020,8,8788,7630,6973,3,7036,400,64,7503,127,0,7200,603
66,2020,8,2960,3264,2713,5,2784,266,55,3124,140,0,2797,467
121,2020,8,6250,4915,4758,3,4618,209,16,4843,72,0,4594,321
119,2020,8,2792,2673,2586,3,2538,102,8,2648,25,0,2429,326
92,2020,8,1515,1435,1383,3,1159,145,67,1371,64,0,1288,147
96,2020,8,1456,1334,1291,6,1038,123,42,1235,34,65,1038,231
93,2020,8,2190,1782,1676,3,1582,137,23,1742,40,0,1715,67
94,2020,8,1662,1882,1699,4,1368,226,111,1739,142,1,1327,554
95,2020,8,2564,2378,2257,6,1505,311,157,2126,252,0,2073,305
97,2020,8,2143,2145,2079,4,1708,240,62,2039,102,4,1871,273
