year_of_entry,la_name,school_phase,measure,count
2021,Haringey,Secondary,Applications Received,2600
2021,Harrow,Secondary,Admission Numbers,2618
2021,Harrow,Secondary,Applications Received,2931
2021,Havering,Secondary,Admission Numbers,3480
2021,Havering,Secondary,Applications Received,2992
2021,Hillingdon,Secondary,Admission Numbers,3787
2021,Hillingdon,Secondary,Applications Received,3604
2021,Hounslow,Secondary,Admission Numbers,3179
2021,Hounslow,Secondary,Applications Received,3314
2021,Kingston upon Thames,Secondary,Admission Numbers,1976
2021,Kingston upon Thames,Secondary,Applications Received,1894
2021,Merton,Secondary,Admission Numbers,2056
2021,Merton,Secondary,Applications Received,2225
2021,Newham,Secondary,Admission Numbers,4769
2021,Newham,Secondary,Applications Received,4255
2021,Redbridge,Secondary,Admission Numbers,3984
2021,Redbridge,Secondary,Applications Received,3809
2021,Richmond upon Thames,Secondary,Admission Numbers,2171
2021,Richmond upon Thames,Secondary,Applications Received,2268
2021,Sutton,Secondary,Admission Numbers,3569
2021,Sutton,Secondary,Applications Received,2752
2021,Waltham Forest,Secondary,Admission Numbers,3136
2021,Waltham Forest,Secondary,Applications Received,2904
2021,Birmingham,Secondary,Admission Numbers,14172
2021,Birmingham,Secondary,Applications Received,14204
2021,Coventry,Secondary,Admission Numbers,4464
2021,Coventry,Secondary,Applications Received,4421
2021,Dudley,Secondary,Admission Numbers,3877
2021,Dudley,Secondary,Applications Received,3660
2021,Sandwell,Secondary,Admission Numbers,4727
2021,Sandwell,Secondary,Applications Received,4468
2021,Solihull,Secondary,Admission Numbers,3356
2021,Solihull,Secondary,Applications Received,2441
2021,Walsall,Secondary,Admission Numbers,3914
2021,Walsall,Secondary,Applications Received,3565
2021,Wolverhampton,Secondary,Admission Numbers,3712
2021,Wolverhampton,Secondary,Applications Received,3339
2021,Knowsley,Secondary,Admission Numbers,1280
2021,Knowsley,Secondary,Applications Received,1692
2021,Liverpool,Secondary,Admission Numbers,5699
2021,Liverpool,Secondary,Applications Received,4949
2021,St. Helens,Secondary,Admission Numbers,2132
2021,St. Helens,Secondary,Applications Received,2021
2021,Sefton,Secondary,Admission Numbers,3357
2021,Sefton,Secondary,Applications Received,2823
2021,Wirral,Secondary,Admission Numbers,3939
2021,Wirral,Secondary,Applications Received,3650
2021,Bolton,Secondary,Admission Numbers,4284
2021,Bolton,Secondary,Applications Received,3873
2021,Bury,Secondary,Admission Numbers,2349
2021,Bury,Secondary,Applications Received,2267
2021,Manchester,Secondary,Admission Numbers,6783
2021,Manchester,Secondary,Applications Received,6801
2021,Oldham,Secondary,Admission Numbers,3729
2021,Oldham,Secondary,Applications Received,3273
2021,Rochdale,Secondary,Admission Numbers,2907
2021,Rochdale,Secondary,Applications Received,2896
2021,Salford,Secondary,Admission Numbers,2616
2021,Salford,Secondary,Applications Received,2824
2021,Stockport,Secondary,Admission Numbers,3325
2021,Stockport,Secondary,Applications Received,3304
2021,Tameside,Secondary,Admission Numbers,3309
2021,Tameside,Secondary,Applications Received,2975
2021,Trafford,Secondary,Admission Numbers,3375
2021,Trafford,Secondary,Applications Received,3050
2021,Wigan,Secondary,Admission Numbers,4063
2021,Wigan,Secondary,Applications Received,3769
2021,Barnsley,Secondary,Admission Numbers,2734
2021,Barnsley,Secondary,Applications Received,2643
2021,Doncaster,Secondary,Admission Numbers,3848
2021,Doncaster,Secondary,Applications Received,3347
2021,Rotherham,Secondary,Admission Numbers,3723
2021,Rotherham,Secondary,Applications Received,3199
2021,Sheffield,Secondary,Admission Numbers,6024
2021,Sheffield,Secondary,Applications Received,6027
2021,Bradford,Secondary,Admission Numbers,7465
2021,Bradford,Secondary,Applications Received,7981
2021,Calderdale,Secondary,Admission Numbers,3054
2021,Calderdale,Secondary,Applications Received,2620
2021,Kirklees,Secondary,Admission Numbers,5072
2021,Kirklees,Secondary,Applications Received,5015
2021,Leeds,Secondary,Admission Numbers,9853
2021,Leeds,Secondary,Applications Received,9502
2021,Wakefield,Secondary,Admission Numbers,4330
2021,Wakefield,Secondary,Applications Received,3784
2021,Gateshead,Secondary,Admission Numbers,2238
2021,Gateshead,Secondary,Applications Received,1824
2021,Newcastle upon Tyne,Secondary,Admission Numbers,2618
2021,Newcastle upon Tyne,Secondary,Applications Received,2614
2021,North Tyneside,Secondary,Admission Numbers,1684
2021,North Tyneside,Secondary,Applications Received,1748
2021,South Tyneside,Secondary,Admission Numbers,1778
2021,South Tyneside,Secondary,Applications Received,1549
2021,Sunderland,Secondary,Admission Numbers,3380
2021,Sunderland,Secondary,Applications Received,2941
2021,Bath and North East Somerset,Secondary,Admission Numbers,2499
2021,Bath and North East Somerset,Secondary,Applications Received,1801
2021,"Bristol, City of",Secondary,Admission Numbers,4318
2021,"Bristol, City of",Secondary,Applications Received,4691
2021,North Somerset,Secondary,Admission Numbers,2700
2021,North Somerset,Secondary,Applications Received,2419
2021,South Gloucestershire,Secondary,Admission Numbers,3089
2021,South Gloucestershire,Secondary,Applications Received,3086
2021,Hartlepool,Secondary,Admission Numbers,1215
2021,Hartlepool,Secondary,Applications Received,1123
2021,Middlesbrough,Secondary,Admission Numbers,1794
2021,Middlesbrough,Secondary,Applications Received,1883
2021,Redcar and Cleveland,Secondary,Admission Numbers,1801
2021,Redcar and Cleveland,Secondary,Applications Received,1489
2021,Stockton-on-Tees,Secondary,Admission Numbers,2497
2021,Stockton-on-Tees,Secondary,Applications Received,2372
2021,"Kingston Upon Hull, City of",Secondary,Admission Numbers,3185
2021,"Kingston Upon Hull, City of",Secondary,Applications Received,3161
2021,East Riding of Yorkshire,Secondary,Admission Numbers,3918
2021,East Riding of Yorkshire,Secondary,Applications Received,3255
2021,North East Lincolnshire,Secondary,Admission Numbers,2175
2021,North East Lincolnshire,Secondary,Applications Received,1859
2021,North Lincolnshire,Secondary,Admission Numbers,2228
2021,North Lincolnshire,Secondary,Applications Received,1939
2021,North Yorkshire,Secondary,Admission Numbers,7344
2021,North Yorkshire,Secondary,Applications Received,5824
2021,York,Secondary,Admission Numbers,1971
2021,York,Secondary,Applications Received,1903
2021,Luton,Secondary,Admission Numbers,3333
2021,Luton,Secondary,Applications Received,3033
2021,Bedford,Secondary,Admission Numbers,2196
2021,Bedford,Secondary,Applications Received,2014
2021,Central Bedfordshire,Secondary,Admission Numbers,2429
2021,Central Bedfordshire,Secondary,Applications Received,1934
2021,Buckinghamshire,Secondary,Admission Numbers,6729
2021,Buckinghamshire,Secondary,Applications Received,6527
2021,Milton Keynes,Secondary,Admission Numbers,3839
2021,Milton Keynes,Secondary,Applications Received,3669
2021,Derbyshire,Secondary,Admission Numbers,9077
2021,Derbyshire,Secondary,Applications Received,8252
2021,Derby,Secondary,Admission Numbers,3640
2021,Derby,Secondary,Applications Received,3177
2021,Dorset,Secondary,Admission Numbers,2822
2021,Dorset,Secondary,Applications Received,2314
2021,Bournemouth Christchurch and Poole,Secondary,Admission Numbers,4182
2021,Bournemouth Christchurch and Poole,Secondary,Applications Received,3745
2021,Durham,Secondary,Admission Numbers,6157
2021,Durham,Secondary,Applications Received,5474
2021,Darlington,Secondary,Admission Numbers,1362
2021,Darlington,Secondary,Applications Received,1209
2021,East Sussex,Secondary,Admission Numbers,5459
2021,East Sussex,Secondary,Applications Received,5352
2021,Brighton and Hove,Secondary,Admission Numbers,2700
2021,Brighton and Hove,Secondary,Applications Received,2521
2021,Hampshire,Secondary,Admission Numbers,15215
2021,Hampshire,Secondary,Applications Received,14480
2021,Portsmouth,Secondary,Admission Numbers,2154
2021,Portsmouth,Secondary,Applications Received,2092
2021,Southampton,Secondary,Admission Numbers,2620
2021,Southampton,Secondary,Applications Received,2547
2021,Leicestershire,Secondary,Admission Numbers,8280
2021,Leicestershire,Secondary,Applications Received,7512
2021,Leicester,Secondary,Admission Numbers,4596
2021,Leicester,Secondary,Applications Received,4748
2021,Rutland,Secondary,Admission Numbers,570
2021,Rutland,Secondary,Applications Received,372
2021,Staffordshire,Secondary,Admission Numbers,8672
2021,Staffordshire,Secondary,Applications Received,7650
2021,Stoke-on-Trent,Secondary,Admission Numbers,2930
2021,Stoke-on-Trent,Secondary,Applications Received,3218
2021,Wiltshire,Secondary,Admission Numbers,6193
2021,Wiltshire,Secondary,Applications Received,5046
2021,Swindon,Secondary,Admission Numbers,2824
2021,Swindon,Secondary,Applications Received,2766
2021,Bracknell Forest,Secondary,Admission Numbers,1524
2021,Bracknell Forest,Secondary,Applications Received,1443
2021,Windsor and Maidenhead,Secondary,Admission Numbers,1458
2021,Windsor and Maidenhead,Secondary,Applications Received,1377
2021,West Berkshire,Secondary,Admission Numbers,2187
2021,West Berkshire,Secondary,Applications Received,1816
2021,Reading,Secondary,Admission Numbers,1692
2021,Reading,Secondary,Applications Received,1865
2021,Slough,Secondary,Admission Numbers,2594
2021,Slough,Secondary,Applications Received,2371
2021,Wokingham,Secondary,Admission Numbers,2146
2021,Wokingham,Secondary,Applications Received,2319
2021,Cambridgeshire,Secondary,Admission Numbers,6963
2021,Cambridgeshire,Secondary,Applications Received,6622
2021,Peterborough,Secondary,Admission Numbers,2933
2021,Peterborough,Secondary,Applications Received,2741
2021,Halton,Secondary,Admission Numbers,1720
2021,Halton,Secondary,Applications Received,1550
2021,Warrington,Secondary,Admission Numbers,2585
2021,Warrington,Secondary,Applications Received,2468
2021,Devon,Secondary,Admission Numbers,8087
2021,Devon,Secondary,Applications Received,7419
2021,Plymouth,Secondary,Admission Numbers,3106
2021,Plymouth,Secondary,Applications Received,2909
2021,Torbay,Secondary,Admission Numbers,1712
2021,Torbay,Secondary,Applications Received,1329
2021,Essex,Secondary,Admission Numbers,17414
2021,Essex,Secondary,Applications Received,16348
2021,Southend-on-Sea,Secondary,Admission Numbers,2511
2021,Southend-on-Sea,Secondary,Applications Received,2176
2021,Thurrock,Secondary,Admission Numbers,2395
2021,Thurrock,Secondary,Applications Received,2381
2021,Herefordshire,Secondary,Admission Numbers,1845
2021,Herefordshire,Secondary,Applications Received,1827
2021,Worcestershire,Secondary,Admission Numbers,4027
2021,Worcestershire,Secondary,Applications Received,3894
2021,Kent,Secondary,Admission Numbers,19588
2021,Kent,Secondary,Applications Received,18274
2021,Medway,Secondary,Admission Numbers,3622
2021,Medway,Secondary,Applications Received,3431
2021,Lancashire,Secondary,Admission Numbers,14825
2021,Lancashire,Secondary,Applications Received,13883
2021,Blackburn with Darwen,Secondary,Admission Numbers,2164
2021,Blackburn with Darwen,Secondary,Applications Received,2043
2021,Blackpool,Secondary,Admission Numbers,1455
2021,Blackpool,Secondary,Applications Received,1496
2021,Nottinghamshire,Secondary,Admission Numbers,9721
2021,Nottinghamshire,Secondary,Applications Received,9266
2021,Nottingham,Secondary,Admission Numbers,3367
2021,Nottingham,Secondary,Applications Received,3547
2021,Shropshire,Secondary,Admission Numbers,3186
2021,Shropshire,Secondary,Applications Received,2896
2021,Telford and Wrekin,Secondary,Admission Numbers,2235
2021,Telford and Wrekin,Secondary,Applications Received,2221
2021,Cheshire East,Secondary,Admission Numbers,4375
2021,Cheshire East,Secondary,Applications Received,4170
2021,Cheshire West and Chester,Secondary,Admission Numbers,4148
2021,Cheshire West and Chester,Secondary,Applications Received,3709
2021,Cornwall,Secondary,Admission Numbers,6470
2021,Cornwall,Secondary,Applications Received,5612
2021,Cumbria,Secondary,Admission Numbers,6174
2021,Cumbria,Secondary,Applications Received,4831
2021,Gloucestershire,Secondary,Admission Numbers,7541
2021,Gloucestershire,Secondary,Applications Received,6873
2021,Hertfordshire,Secondary,Admission Numbers,15566
