lea,urn,estab,dfe_number,laestab,schname,admin_district,academic_year,estab_type,education_phase,relchar,percentage_fsm,ofsted_rating,totpups,readprog,writprog,matprog
850,115919,2116,850/2116,8502116,Bosmere Junior School,Havant,2017-2018,Local authority maintained schools,Primary,Does not apply,9.3,Good,356,1.5,2,2.2
850,115919,2116,850/2116,8502116,Bosmere Junior School,Havant,2018-2019,Local authority maintained schools,Primary,Does not apply,9.3,Good,356,-0.9,2.7,1.3
850,115920,2117,850/2117,8502117,Itchen Abbas Primary School,Winchester,2016-2017,Local authority maintained schools,Primary,Does not apply,6.8,Good,97,2.8,1.9,-1.4
850,115920,2117,850/2117,8502117,Itchen Abbas Primary School,Winchester,2017-2018,Local authority maintained schools,Primary,Does not apply,6.8,Good,92,2.9,2.4,-2.1
850,115920,2117,850/2117,8502117,Itchen Abbas Primary School,Winchester,2018-2019,Local authority maintained schools,Primary,Does not apply,6.8,Good,96,-0.9,2.6,-1.4
850,115921,2119,850/2119,8502119,Ashford Hill Primary School,Basingstoke and Deane,2016-2017,Local authority maintained schools,Primary,Does not apply,4.5,Good,127,1.2,1.3,3
850,115921,2119,850/2119,8502119,Ashford Hill Primary School,Basingstoke and Deane,2017-2018,Local authority maintained schools,Primary,Does not apply,4.5,Good,134,1.2,1.2,2
850,115921,2119,850/2119,8502119,Ashford Hill Primary School,Basingstoke and Deane,2018-2019,Local authority maintained schools,Primary,Does not apply,4.5,Good,131,1.7,0.2,1
850,115922,2120,850/2120,8502120,Kings Worthy Primary School,Winchester,2016-2017,Local authority maintained schools,Primary,Does not apply,10,Good,415,-0.4,-2.1,-0.9
850,115922,2120,850/2120,8502120,Kings Worthy Primary School,Winchester,2017-2018,Local authority maintained schools,Primary,Does not apply,10,Good,427,1.1,0.5,0.5
850,115922,2120,850/2120,8502120,Kings Worthy Primary School,Winchester,2018-2019,Local authority maintained schools,Primary,Does not apply,10,Good,416,-1.1,-0.7,0
850,115924,2125,850/2125,8502125,Langrish Primary School,East Hampshire,2016-2017,Local authority maintained schools,Primary,Does not apply,1.9,Good,204,2.5,2.8,1
850,115924,2125,850/2125,8502125,Langrish Primary School,East Hampshire,2017-2018,Local authority maintained schools,Primary,Does not apply,1.9,Good,210,-0.2,2.3,0
850,115924,2125,850/2125,8502125,Langrish Primary School,East Hampshire,2018-2019,Local authority maintained schools,Primary,Does not apply,1.9,Good,211,1.7,-0.9,0.3
850,115925,2127,850/2127,8502127,Liss Junior School,East Hampshire,2016-2017,Local authority maintained schools,Primary,Does not apply,6.3,Good,232,0.5,-3.1,-2.4
850,115925,2127,850/2127,8502127,Liss Junior School,East Hampshire,2017-2018,Local authority maintained schools,Primary,Does not apply,6.3,Good,216,-0.8,-1.2,-1.6
850,115925,2127,850/2127,8502127,Liss Junior School,East Hampshire,2018-2019,Local authority maintained schools,Primary,Does not apply,6.3,Good,206,-2.3,-2.2,-2.1
850,115926,2128,850/2128,8502128,Locks Heath Junior School,Fareham,2016-2017,Local authority maintained schools,Primary,Does not apply,4.9,Good,498,-1.4,-1.8,-2
850,115926,2128,850/2128,8502128,Locks Heath Junior School,Fareham,2017-2018,Local authority maintained schools,Primary,Does not apply,4.9,Good,480,-2.5,-1.2,-1.5
850,115926,2128,850/2128,8502128,Locks Heath Junior School,Fareham,2018-2019,Local authority maintained schools,Primary,Does not apply,4.9,Good,474,-2.6,0,-1.8
850,115929,2140,850/2140,8502140,New Milton Junior School,New Forest,2016-2017,Local authority maintained schools,Primary,Does not apply,22.3,Good,369,-1.1,0.4,-2.9
850,115929,2140,850/2140,8502140,New Milton Junior School,New Forest,2017-2018,Local authority maintained schools,Primary,Does not apply,22.3,Good,368,-1.2,-0.4,-2.1
850,115929,2140,850/2140,8502140,New Milton Junior School,New Forest,2018-2019,Local authority maintained schools,Primary,Does not apply,22.3,Good,366,-0.1,0.3,-1.4
850,115932,2148,850/2148,8502148,North Waltham Primary School,Basingstoke and Deane,2016-2017,Local authority maintained schools,Primary,Does not apply,0.6,Good,161,-1,-0.9,-2.3
850,115932,2148,850/2148,8502148,North Waltham Primary School,Basingstoke and Deane,2017-2018,Local authority maintained schools,Primary,Does not apply,0.6,Good,165,-2.2,-0.9,0.5
850,115932,2148,850/2148,8502148,North Waltham Primary School,Basingstoke and Deane,2018-2019,Local authority maintained schools,Primary,Does not apply,0.6,Good,168,2.3,1,1
850,115934,2157,850/2157,8502157,Owslebury Primary School,Winchester,2016-2017,Local authority maintained schools,Primary,Does not apply,15,Good,88,1.8,-0.5,3.3
850,115934,2157,850/2157,8502157,Owslebury Primary School,Winchester,2017-2018,Local authority maintained schools,Primary,Does not apply,15,Good,84,0.8,0.6,5.7
850,115934,2157,850/2157,8502157,Owslebury Primary School,Winchester,2018-2019,Local authority maintained schools,Primary,Does not apply,15,Good,85,5.3,1,-1
850,115935,2161,850/2161,8502161,Northern Junior School,Fareham,2016-2017,Local authority maintained schools,Primary,Does not apply,11.8,Good,159,-0.3,1.6,-0.9
850,115935,2161,850/2161,8502161,Northern Junior School,Fareham,2017-2018,Local authority maintained schools,Primary,Does not apply,11.8,Good,165,0.4,1.3,-0.8
850,115935,2161,850/2161,8502161,Northern Junior School,Fareham,2018-2019,Local authority maintained schools,Primary,Does not apply,11.8,Good,170,-0.1,1.3,0.8
850,115938,2168,850/2168,8502168,Wicor Primary School,Fareham,2016-2017,Local authority maintained schools,Primary,Does not apply,7.8,Good,442,0.1,2.2,-0.5
850,115938,2168,850/2168,8502168,Wicor Primary School,Fareham,2017-2018,Local authority maintained schools,Primary,Does not apply,7.8,Good,438,0.6,0.6,-0.4
850,115938,2168,850/2168,8502168,Wicor Primary School,Fareham,2018-2019,Local authority maintained schools,Primary,Does not apply,7.8,Good,436,-1.1,3.6,0.9
850,115940,2170,850/2170,8502170,Herne Junior School,East Hampshire,2016-2017,Local authority maintained schools,Primary,Does not apply,9.7,Good,447,1,1.2,0.6
850,115940,2170,850/2170,8502170,Herne Junior School,East Hampshire,2017-2018,Local authority maintained schools,Primary,Does not apply,9.7,Good,458,-1.5,0.4,-0.6
850,115940,2170,850/2170,8502170,Herne Junior School,East Hampshire,2018-2019,Local authority maintained schools,Primary,Does not apply,9.7,Good,475,-0.2,0.5,1.7
850,115943,2175,850/2175,8502175,Ringwood Junior School,New Forest,2016-2017,Local authority maintained schools,Primary,Does not apply,8.3,Good,380,0.7,-0.2,1.1
850,115943,2175,850/2175,8502175,Ringwood Junior School,New Forest,2017-2018,Local authority maintained schools,Primary,Does not apply,8.3,Good,377,-0.4,-1.1,0.3
850,115943,2175,850/2175,8502175,Ringwood Junior School,New Forest,2018-2019,Local authority maintained schools,Primary,Does not apply,8.3,Good,381,0,0.6,-0.1
850,115944,2176,850/2176,8502176,Cupernham Junior School,Test Valley,2016-2017,Local authority maintained schools,Primary,Does not apply,13,Good,342,-1,-1,-3.5
850,115944,2176,850/2176,8502176,Cupernham Junior School,Test Valley,2017-2018,Local authority maintained schools,Primary,Does not apply,13,Good,347,-0.1,-2.7,-1
850,115944,2176,850/2176,8502176,Cupernham Junior School,Test Valley,2018-2019,Local authority maintained schools,Primary,Does not apply,13,Good,349,-1.5,-1.2,-1.8
850,115945,2180,850/2180,8502180,St Mary Bourne Primary School,Basingstoke and Deane,2016-2017,Local authority maintained schools,Primary,Does not apply,4.4,Outstanding,141,3,0.1,3.7
850,115945,2180,850/2180,8502180,St Mary Bourne Primary School,Basingstoke and Deane,2017-2018,Local authority maintained schools,Primary,Does not apply,4.4,Outstanding,138,2.6,1.3,0.6
